,id_key,no,contest_category,contest_name,year,link,pdf,post_rendered,post_canonical,label,score,level
0,5140,1,International Contest,benelux,2023_benelux,https://artofproblemsolving.com/community/c3343104_2023_benelux,https://artofproblemsolving.com/downloads/printable_post_collections/3343104,"Find all functions <img src=""//latex.artofproblemsolving.com/b/4/7/b47c7498564afea97ec96663ff638d9182f09337.png"" class=""latex"" alt=""$f\colon\mathbb{R}\to\mathbb{R}$"" style=""vertical-align: -4px"" width=""80"" height=""18""> such that<br>
<img src=""//latex.artofproblemsolving.com/1/5/2/152de7445e0c2da883d3230aeede26979b1d31bc.png"" class=""latex"" alt=""$(x-y)\bigl(f(x)+f(y)\bigr)\leqslant f\bigl(x^2-y^2\bigr)$"" style=""vertical-align: -7px"" width=""275"" height=""24""> for all <span style=""white-space:pre;""><img src=""//latex.artofproblemsolving.com/3/9/b/39b5c9755a11dfd9dea1da1dcd236e268bad8675.png"" class=""latex"" alt=""$x,y\in\mathbb{R}$"" style=""vertical-align: -3px"" width=""63"" height=""15"">.</span>","Find all functions $f\colon\mathbb{R}\to\mathbb{R}$ such that $(x-y)\bigl(f(x)+f(y)\bigr)\leqslant f\bigl(x^2-y^2\bigr)$ for all $x,y\in\mathbb{R}$.",,5.142857142857142,Medium
1,5141,2,International Contest,benelux,2023_benelux,https://artofproblemsolving.com/community/c3343104_2023_benelux,https://artofproblemsolving.com/downloads/printable_post_collections/3343104,"Determine all integers <img src=""//latex.artofproblemsolving.com/7/3/8/738da4427c79a912d97077927a2e05b9f944cab2.png"" class=""latex"" alt=""$k\geqslant 1$"" style=""vertical-align: -3px"" width=""45"" height=""17""> with the following property: given <img src=""//latex.artofproblemsolving.com/8/c/3/8c325612684d41304b9751c175df7bcc0f61f64f.png"" class=""latex"" alt=""$k$"" width=""9"" height=""12""> different colours, if each integer is coloured in one of these <img src=""//latex.artofproblemsolving.com/8/c/3/8c325612684d41304b9751c175df7bcc0f61f64f.png"" class=""latex"" alt=""$k$"" width=""9"" height=""12""> colours, then there must exist integers <img src=""//latex.artofproblemsolving.com/9/b/7/9b7af21fe0c98c93e52d03a358d4fad388fe762e.png"" class=""latex"" alt=""$a_1<a_2<\cdots<a_{2023}$"" style=""vertical-align: -4px"" width=""167"" height=""15""> of the same colour such that the differences <img src=""//latex.artofproblemsolving.com/1/e/2/1e29ae48f85479f9cd93d95368e497b77865bed7.png"" class=""latex"" alt=""$a_2-a_1,a_3-a_2,\dots,a_{2023}-a_{2022}$"" style=""vertical-align: -4px"" width=""259"" height=""16""> are all powers of <span style=""white-space:pre;""><img src=""//latex.artofproblemsolving.com/4/1/c/41c544263a265ff15498ee45f7392c5f86c6d151.png"" class=""latex"" alt=""$2$"" width=""8"" height=""12"">.</span>","Determine all integers $k\geqslant 1$ with the following property: given $k$ different colours, if each integer is coloured in one of these $k$ colours, then there must exist integers $a_1<a_2<\cdots<a_{2023}$ of the same colour such that the differences $a_2-a_1,a_3-a_2,\dots,a_{2023}-a_{2022}$ are all powers of $2$.",,4.666666666666667,Medium
2,5142,3,International Contest,benelux,2023_benelux,https://artofproblemsolving.com/community/c3343104_2023_benelux,https://artofproblemsolving.com/downloads/printable_post_collections/3343104,"Let <img src=""//latex.artofproblemsolving.com/e/2/a/e2a559986ed5a0ffc5654bd367c29dfc92913c36.png"" class=""latex"" alt=""$ABC$"" width=""42"" height=""13""> be a triangle with incentre <img src=""//latex.artofproblemsolving.com/0/2/7/027f4a11d6090f9eac0ce2488df6384dad1263ea.png"" class=""latex"" alt=""$I$"" width=""9"" height=""12""> and circumcircle <span style=""white-space:pre;""><img src=""//latex.artofproblemsolving.com/5/4/d/54d7d48553f4d9e7ab418118607ea324cbfddfda.png"" class=""latex"" alt=""$\omega$"" width=""11"" height=""8"">.</span> Let <img src=""//latex.artofproblemsolving.com/f/c/9/fc97ef67268cd4e91bacdf12b8901d7036c9a056.png"" class=""latex"" alt=""$N$"" width=""16"" height=""12""> denote the second point of intersection of line <img src=""//latex.artofproblemsolving.com/b/f/c/bfcb6f9286d36a1d244aa1be5a7fb0e274d53ee5.png"" class=""latex"" alt=""$AI$"" width=""23"" height=""13""> and <span style=""white-space:pre;""><img src=""//latex.artofproblemsolving.com/5/4/d/54d7d48553f4d9e7ab418118607ea324cbfddfda.png"" class=""latex"" alt=""$\omega$"" width=""11"" height=""8"">.</span> The line through <img src=""//latex.artofproblemsolving.com/0/2/7/027f4a11d6090f9eac0ce2488df6384dad1263ea.png"" class=""latex"" alt=""$I$"" width=""9"" height=""12""> perpendicular to <img src=""//latex.artofproblemsolving.com/b/f/c/bfcb6f9286d36a1d244aa1be5a7fb0e274d53ee5.png"" class=""latex"" alt=""$AI$"" width=""23"" height=""13""> intersects line <span style=""white-space:pre;""><img src=""//latex.artofproblemsolving.com/6/c/5/6c52a41dcbd739f1d026c5d4f181438b75b76976.png"" class=""latex"" alt=""$BC$"" width=""28"" height=""12"">,</span> segment <span style=""white-space:pre;""><img src=""//latex.artofproblemsolving.com/a/d/a/ada6f54288b7a2cdd299eba0055f8c8d19916b4b.png"" class=""latex"" alt=""$[AB]$"" style=""vertical-align: -5px"" width=""36"" height=""18"">,</span> and segment <img src=""//latex.artofproblemsolving.com/0/9/3/0936990e6625d65357ca51006c08c9fe3e04ba0c.png"" class=""latex"" alt=""$[AC]$"" style=""vertical-align: -5px"" width=""36"" height=""18""> at the points <span style=""white-space:pre;""><img src=""//latex.artofproblemsolving.com/9/f/f/9ffb448918db29f2a72f8f87f421b3b3cad18f95.png"" class=""latex"" alt=""$D$"" width=""15"" height=""12"">,</span> <span style=""white-space:pre;""><img src=""//latex.artofproblemsolving.com/f/a/2/fa2fa899f0afb05d6837885523503a2d4df434f9.png"" class=""latex"" alt=""$E$"" width=""14"" height=""12"">,</span> and <span style=""white-space:pre;""><img src=""//latex.artofproblemsolving.com/a/0/5/a055f405829e64a3b70253ab67cb45ed6ed5bb29.png"" class=""latex"" alt=""$F$"" width=""14"" height=""12"">,</span> respectively. The circumcircle of triangle <img src=""//latex.artofproblemsolving.com/5/8/c/58cf2c01b32821ad23584e33cc96ba86963d7961.png"" class=""latex"" alt=""$AEF$"" width=""42"" height=""13""> meets <img src=""//latex.artofproblemsolving.com/5/4/d/54d7d48553f4d9e7ab418118607ea324cbfddfda.png"" class=""latex"" alt=""$\omega$"" width=""11"" height=""8""> again at <span style=""white-space:pre;""><img src=""//latex.artofproblemsolving.com/4/b/4/4b4cade9ca8a2c8311fafcf040bc5b15ca507f52.png"" class=""latex"" alt=""$P$"" width=""14"" height=""12"">,</span> and lines <img src=""//latex.artofproblemsolving.com/9/9/f/99f9b09eac5bb37f279692c70f4e8a80ff2b787d.png"" class=""latex"" alt=""$PN$"" width=""30"" height=""12""> and <img src=""//latex.artofproblemsolving.com/6/c/5/6c52a41dcbd739f1d026c5d4f181438b75b76976.png"" class=""latex"" alt=""$BC$"" width=""28"" height=""12""> intersect at <span style=""white-space:pre;""><img src=""//latex.artofproblemsolving.com/9/8/6/9866e3a998d628ba0941eb4fea0666ac391d149a.png"" class=""latex"" alt=""$Q$"" style=""vertical-align: -3px"" width=""13"" height=""16"">.</span> Prove that lines <img src=""//latex.artofproblemsolving.com/e/b/d/ebd87ceaa819487f0cf9680a4742ef72957a1de3.png"" class=""latex"" alt=""$IQ$"" style=""vertical-align: -3px"" width=""23"" height=""16""> and <img src=""//latex.artofproblemsolving.com/3/a/8/3a816c89963674b87a98252a83530b78c7aa7aae.png"" class=""latex"" alt=""$DN$"" width=""32"" height=""12""> intersect on <span style=""white-space:pre;""><img src=""//latex.artofproblemsolving.com/5/4/d/54d7d48553f4d9e7ab418118607ea324cbfddfda.png"" class=""latex"" alt=""$\omega$"" width=""11"" height=""8"">.</span>","Let $ABC$ be a triangle with incentre $I$ and circumcircle $\omega$. Let $N$ denote the second point of intersection of line $AI$ and $\omega$. The line through $I$ perpendicular to $AI$ intersects line $BC$, segment $[AB]$, and segment $[AC]$ at the points $D$, $E$, and $F$, respectively. The circumcircle of triangle $AEF$ meets $\omega$ again at $P$, and lines $PN$ and $BC$ intersect at $Q$. Prove that lines $IQ$ and $DN$ intersect on $\omega$.",,8.571428571428573,Very Hard
3,5143,4,International Contest,benelux,2023_benelux,https://artofproblemsolving.com/community/c3343104_2023_benelux,https://artofproblemsolving.com/downloads/printable_post_collections/3343104,"A positive integer <img src=""//latex.artofproblemsolving.com/1/7/4/174fadd07fd54c9afe288e96558c92e0c1da733a.png"" class=""latex"" alt=""$n$"" width=""10"" height=""8""> is <i>friendly</i> if the difference of each pair of neighbouring digits of <span style=""white-space:pre;""><img src=""//latex.artofproblemsolving.com/1/7/4/174fadd07fd54c9afe288e96558c92e0c1da733a.png"" class=""latex"" alt=""$n$"" width=""10"" height=""8"">,</span> written in base <span style=""white-space:pre;""><img src=""//latex.artofproblemsolving.com/f/c/6/fc606f7f1e530731ab4f1cc364c01dc64a4455ee.png"" class=""latex"" alt=""$10$"" style=""vertical-align: 0px"" width=""17"" height=""13"">,</span> is exactly <span style=""white-space:pre;""><img src=""//latex.artofproblemsolving.com/d/c/e/dce34f4dfb2406144304ad0d6106c5382ddd1446.png"" class=""latex"" alt=""$1$"" style=""vertical-align: -1px"" width=""11"" height=""14"">.</span> <i>For example, 6787 is friendly, but 211 and 901 are not.</i><br>
<br>
Find all odd natural numbers <img src=""//latex.artofproblemsolving.com/f/5/0/f5047d1e0cbb50ec208923a22cd517c55100fa7b.png"" class=""latex"" alt=""$m$"" style=""vertical-align: -1px"" width=""18"" height=""10""> for which there exists a friendly integer divisible by <span style=""white-space:pre;""><img src=""//latex.artofproblemsolving.com/a/c/3/ac3c74b7ee286f754344d4949dbe1c3ab54fa62c.png"" class=""latex"" alt=""$64m$"" style=""vertical-align: -1px"" width=""36"" height=""14"">.</span>","A positive integer $n$ is friendly if the difference of each pair of neighbouring digits of $n$, written in base $10$, is exactly $1$. For example, 6787 is friendly, but 211 and 901 are not.  Find all odd natural numbers $m$ for which there exists a friendly integer divisible by $64m$.",,6.476190476190475,Hard
4,5144,1,International Contest,benelux,2022_benelux,https://artofproblemsolving.com/community/c3036384_2022_benelux,https://artofproblemsolving.com/downloads/printable_post_collections/3036384,"Let <img src=""//latex.artofproblemsolving.com/2/f/e/2fe906db5f30db97edd2a5ad2803ce22d389f645.png"" class=""latex"" alt=""$n\geqslant 0$"" style=""vertical-align: -2px"" width=""43"" height=""15""> be an integer, and let <img src=""//latex.artofproblemsolving.com/f/d/c/fdc1fdcc6fb4a0e105e5160a0898c42abd0d5525.png"" class=""latex"" alt=""$a_0,a_1,\dots,a_n$"" style=""vertical-align: -3px"" width=""100"" height=""11""> be real numbers. Show that there exists <img src=""//latex.artofproblemsolving.com/2/e/2/2e282da04c4b690cd6313353a12f9a40c997c44b.png"" class=""latex"" alt=""$k\in\{0,1,\dots,n\}$"" style=""vertical-align: -4px"" width=""127"" height=""18""> such that<br>
<img src=""//latex.artofproblemsolving.com/0/2/8/02895ed5215318d767daa286c2829f5f120ed03b.png"" class=""latexcenter"" alt=""$$a_0+a_1x+a_2x^2+\cdots+a_nx^n\leqslant a_0+a_1+\cdots+a_k$$"" width=""389"" height=""18"">for all real numbers <span style=""white-space:pre;""><img src=""//latex.artofproblemsolving.com/0/b/1/0b1f9ef801a9940ef62a5a310b86b9a04777f46c.png"" class=""latex"" alt=""$x\in[0,1]$"" style=""vertical-align: -5px"" width=""67"" height=""18"">.</span>","Let $n\geqslant 0$ be an integer, and let $a_0,a_1,\dots,a_n$ be real numbers. Show that there exists $k\in\{0,1,\dots,n\}$ such that $$a_0+a_1x+a_2x^2+\cdots+a_nx^n\leqslant a_0+a_1+\cdots+a_k$$for all real numbers $x\in[0,1]$.",,6.996336996336996,Hard
5,5145,2,International Contest,benelux,2022_benelux,https://artofproblemsolving.com/community/c3036384_2022_benelux,https://artofproblemsolving.com/downloads/printable_post_collections/3036384,"Let <img src=""//latex.artofproblemsolving.com/1/7/4/174fadd07fd54c9afe288e96558c92e0c1da733a.png"" class=""latex"" alt=""$n$"" width=""10"" height=""8""> be a positive integer. There are <img src=""//latex.artofproblemsolving.com/1/7/4/174fadd07fd54c9afe288e96558c92e0c1da733a.png"" class=""latex"" alt=""$n$"" width=""10"" height=""8""> ants walking along a line at constant nonzero speeds. Different ants need not walk at the same speed or walk in the same direction. Whenever two or more ants collide, all the ants involved in this collision instantly change directions. (Different ants need not be moving in opposite directions when they collide, since a faster ant may catch up with a slower one that is moving in the same direction.) The ants keep walking indefinitely.<br>
Assuming that the total number of collisions is finite, determine the largest possible number of collisions in terms of <span style=""white-space:pre;""><img src=""//latex.artofproblemsolving.com/1/7/4/174fadd07fd54c9afe288e96558c92e0c1da733a.png"" class=""latex"" alt=""$n$"" width=""10"" height=""8"">.</span>","Let $n$ be a positive integer. There are $n$ ants walking along a line at constant nonzero speeds. Different ants need not walk at the same speed or walk in the same direction. Whenever two or more ants collide, all the ants involved in this collision instantly change directions. (Different ants need not be moving in opposite directions when they collide, since a faster ant may catch up with a slower one that is moving in the same direction.) The ants keep walking indefinitely. Assuming that the total number of collisions is finite, determine the largest possible number of collisions in terms of $n$.",,7.948717948717949,Hard
6,5146,3,International Contest,benelux,2022_benelux,https://artofproblemsolving.com/community/c3036384_2022_benelux,https://artofproblemsolving.com/downloads/printable_post_collections/3036384,"Let <img src=""//latex.artofproblemsolving.com/e/2/a/e2a559986ed5a0ffc5654bd367c29dfc92913c36.png"" class=""latex"" alt=""$ABC$"" width=""42"" height=""13""> be a scalene acute triangle. Let <img src=""//latex.artofproblemsolving.com/2/4/3/243af6fad28c15abb3e11996374ba60e745bf543.png"" class=""latex"" alt=""$B_1$"" style=""vertical-align: -2px"" width=""19"" height=""15""> be the point on ray <img src=""//latex.artofproblemsolving.com/e/1/3/e13d9cf8d228901eb48dc8c3be092d164face7f0.png"" class=""latex"" alt=""$[AC$"" style=""vertical-align: -5px"" width=""32"" height=""18""> such that <span style=""white-space:pre;""><img src=""//latex.artofproblemsolving.com/7/7/b/77b40e32a4dd3e09d1a5281d45451e49d961771b.png"" class=""latex"" alt=""$|AB_1|=|BB_1|$"" style=""vertical-align: -5px"" width=""117"" height=""20"">.</span> Let <img src=""//latex.artofproblemsolving.com/7/0/b/70b97eb4ad6e4e7a5a97e2547d9ed6e965960d0c.png"" class=""latex"" alt=""$C_1$"" style=""vertical-align: -2px"" width=""18"" height=""15""> be the point on ray <img src=""//latex.artofproblemsolving.com/7/3/f/73f49dfbe6c67b9312d131ba13b374c247c52ee2.png"" class=""latex"" alt=""$[AB$"" style=""vertical-align: -5px"" width=""32"" height=""18""> such that <span style=""white-space:pre;""><img src=""//latex.artofproblemsolving.com/7/0/9/70930441c7858514e4b787ea522304d347f541c6.png"" class=""latex"" alt=""$|AC_1|=|CC_1|$"" style=""vertical-align: -5px"" width=""115"" height=""20"">.</span> Let <img src=""//latex.artofproblemsolving.com/3/6/8/368b6f971b418d731c62ff2cb59f51c527d22849.png"" class=""latex"" alt=""$B_2$"" style=""vertical-align: -2px"" width=""20"" height=""15""> and <img src=""//latex.artofproblemsolving.com/b/6/5/b65e6facfe122c182fe14d503aeace2c52a9739d.png"" class=""latex"" alt=""$C_2$"" style=""vertical-align: -2px"" width=""19"" height=""15""> be the points on line <img src=""//latex.artofproblemsolving.com/6/c/5/6c52a41dcbd739f1d026c5d4f181438b75b76976.png"" class=""latex"" alt=""$BC$"" width=""28"" height=""12""> such that <img src=""//latex.artofproblemsolving.com/2/e/b/2ebbdfa65501a2da0c572cb3673b29f71826300b.png"" class=""latex"" alt=""$|AB_2|=|CB_2|$"" style=""vertical-align: -5px"" width=""117"" height=""20""> and <span style=""white-space:pre;""><img src=""//latex.artofproblemsolving.com/6/f/3/6f3082ed9303032bfdfc0f45c3e7a02b633cd887.png"" class=""latex"" alt=""$|BC_2|=|AC_2|$"" style=""vertical-align: -5px"" width=""116"" height=""20"">.</span> Prove that <span style=""white-space:pre;""><img src=""//latex.artofproblemsolving.com/2/4/3/243af6fad28c15abb3e11996374ba60e745bf543.png"" class=""latex"" alt=""$B_1$"" style=""vertical-align: -2px"" width=""19"" height=""15"">,</span> <span style=""white-space:pre;""><img src=""//latex.artofproblemsolving.com/7/0/b/70b97eb4ad6e4e7a5a97e2547d9ed6e965960d0c.png"" class=""latex"" alt=""$C_1$"" style=""vertical-align: -2px"" width=""18"" height=""15"">,</span> <span style=""white-space:pre;""><img src=""//latex.artofproblemsolving.com/3/6/8/368b6f971b418d731c62ff2cb59f51c527d22849.png"" class=""latex"" alt=""$B_2$"" style=""vertical-align: -2px"" width=""20"" height=""15"">,</span> <img src=""//latex.artofproblemsolving.com/b/6/5/b65e6facfe122c182fe14d503aeace2c52a9739d.png"" class=""latex"" alt=""$C_2$"" style=""vertical-align: -2px"" width=""19"" height=""15""> are concyclic.","Let $ABC$ be a scalene acute triangle. Let $B_1$ be the point on ray $[AC$ such that $|AB_1|=|BB_1|$. Let $C_1$ be the point on ray $[AB$ such that $|AC_1|=|CC_1|$. Let $B_2$ and $C_2$ be the points on line $BC$ such that $|AB_2|=|CB_2|$ and $|BC_2|=|AC_2|$. Prove that $B_1$, $C_1$, $B_2$, $C_2$ are concyclic.",,4.468864468864469,Medium
7,5147,4,International Contest,benelux,2022_benelux,https://artofproblemsolving.com/community/c3036384_2022_benelux,https://artofproblemsolving.com/downloads/printable_post_collections/3036384,"A subset <img src=""//latex.artofproblemsolving.com/0/1/9/019e9892786e493964e145e7c5cf7b700314e53b.png"" class=""latex"" alt=""$A$"" width=""13"" height=""13""> of the natural numbers <img src=""//latex.artofproblemsolving.com/3/a/4/3a49dd8bed04eac59f6d3c15446f226d71e80ab9.png"" class=""latex"" alt=""$\mathbb{N} = \{0, 1, 2,\dots\}$"" style=""vertical-align: -5px"" width=""133"" height=""20""> is called <i>good</i> if every integer <img src=""//latex.artofproblemsolving.com/0/2/4/0247db3d702b5ce6be98f50771750a2723cddcea.png"" class=""latex"" alt=""$n>0$"" style=""vertical-align: 0px"" width=""43"" height=""13""> has at most one prime divisor <img src=""//latex.artofproblemsolving.com/3/6/f/36f73fc1312ee0349b3f3a0f3bd9eb5504339011.png"" class=""latex"" alt=""$p$"" style=""vertical-align: -3px"" width=""10"" height=""11""> such that <span style=""white-space:pre;""><img src=""//latex.artofproblemsolving.com/4/1/a/41ad75024375a8b0150e42b7dc570da4882d933a.png"" class=""latex"" alt=""$n-p\in A$"" style=""vertical-align: -4px"" width=""80"" height=""18"">.</span><br>
(a) Show that the set <img src=""//latex.artofproblemsolving.com/3/0/1/301a5116b1d639deb5969f03125cfa481b1a1338.png"" class=""latex"" alt=""$S = \{0, 1, 4, 9,\dots\}$"" style=""vertical-align: -5px"" width=""149"" height=""20""> of perfect squares is good.<br>
(b) Find an infinite good set disjoint from <span style=""white-space:pre;""><img src=""//latex.artofproblemsolving.com/a/d/2/ad28c83c99a8fd0dd2e2e594c9d02ee532765a0a.png"" class=""latex"" alt=""$S$"" width=""12"" height=""12"">.</span>  (Two sets are <i>disjoint</i> if they have no common elements.)","A subset $A$ of the natural numbers $\mathbb{N} = \{0, 1, 2,\dots\}$ is called good if every integer $n>0$ has at most one prime divisor $p$ such that $n-p\in A$. (a) Show that the set $S = \{0, 1, 4, 9,\dots\}$ of perfect squares is good. (b) Find an infinite good set disjoint from $S$. (Two sets are disjoint if they have no common elements.)",,5.7142857142857135,Medium
8,5148,1,International Contest,benelux,2021_benelux,https://artofproblemsolving.com/community/c2004796_2021_benelux,https://artofproblemsolving.com/downloads/printable_post_collections/2004796,"(a) Prove that for all <img src=""//latex.artofproblemsolving.com/3/a/7/3a720fc8dc169052c71b17302daefa3817551393.png"" class=""latex"" alt=""$a, b, c, d \in \mathbb{R}$"" style=""vertical-align: -3px"" width=""93"" height=""16""> with <span style=""white-space:pre;""><img src=""//latex.artofproblemsolving.com/1/9/c/19ccd750d144465cd39b5637af9a7622d76757d8.png"" class=""latex"" alt=""$a + b + c + d = 0$"" style=""vertical-align: -1px"" width=""134"" height=""14"">,</span><br>
<img src=""//latex.artofproblemsolving.com/8/2/d/82db81613f8f550f9b90d06f2b09de391b7368ec.png"" class=""latexcenter"" alt=""\[
\max(a, b) + \max(a, c) + \max(a, d) + \max(b, c) + \max(b, d) + \max(c, d) \geqslant 0.
\]"" width=""547"" height=""18"">(b) Find the largest non-negative integer <img src=""//latex.artofproblemsolving.com/8/c/3/8c325612684d41304b9751c175df7bcc0f61f64f.png"" class=""latex"" alt=""$k$"" width=""9"" height=""12""> such that it is possible to replace <img src=""//latex.artofproblemsolving.com/8/c/3/8c325612684d41304b9751c175df7bcc0f61f64f.png"" class=""latex"" alt=""$k$"" width=""9"" height=""12""> of the six maxima in this inequality by minima in such a way that the inequality still holds for all <img src=""//latex.artofproblemsolving.com/3/a/7/3a720fc8dc169052c71b17302daefa3817551393.png"" class=""latex"" alt=""$a, b, c, d \in \mathbb{R}$"" style=""vertical-align: -3px"" width=""93"" height=""16""> with <span style=""white-space:pre;""><img src=""//latex.artofproblemsolving.com/1/9/c/19ccd750d144465cd39b5637af9a7622d76757d8.png"" class=""latex"" alt=""$a + b + c + d = 0$"" style=""vertical-align: -1px"" width=""134"" height=""14"">.</span>","(a) Prove that for all $a, b, c, d \in \mathbb{R}$ with $a + b + c + d = 0$, \[ \max(a, b) + \max(a, c) + \max(a, d) + \max(b, c) + \max(b, d) + \max(c, d) \geqslant 0. \](b) Find the largest non-negative integer $k$ such that it is possible to replace $k$ of the six maxima in this inequality by minima in such a way that the inequality still holds for all $a, b, c, d \in \mathbb{R}$ with $a + b + c + d = 0$.",,5.467980295566503,Medium
9,5149,2,International Contest,benelux,2021_benelux,https://artofproblemsolving.com/community/c2004796_2021_benelux,https://artofproblemsolving.com/downloads/printable_post_collections/2004796,"Pebbles are placed on the squares of a <img src=""//latex.artofproblemsolving.com/0/6/b/06b303e5a486cc1ed6c4d95320d4f38a5abfc048.png"" class=""latex"" alt=""$2021\times 2021$"" style=""vertical-align: 0px"" width=""93"" height=""13""> board in such a way that each square contains at most one pebble. The pebble set of a square of the board is the collection of all pebbles which are in the same row or column as this square. (A pebble belongs to the pebble set of the square in which it is placed.) What is the least possible number of pebbles on the board if no two squares have the same pebble set?",Pebbles are placed on the squares of a $2021\times 2021$ board in such a way that each square contains at most one pebble. The pebble set of a square of the board is the collection of all pebbles which are in the same row or column as this square. (A pebble belongs to the pebble set of the square in which it is placed.) What is the least possible number of pebbles on the board if no two squares have the same pebble set?,Combinatorics,6.8965517241379315,Hard
