,id_key,no,contest_category,contest_name,year,link,pdf,post_rendered,post_canonical,label,score,level
520,356,2,International Contest,imo,1970_imo,https://artofproblemsolving.com/community/c3797_1970_imo,https://artofproblemsolving.com/downloads/printable_post_collections/3797,"In the tetrahedron <img src=""//latex.artofproblemsolving.com/0/0/7/00785c4e62181cf15fd4ccb7c4a2287983c1d0a8.png"" class=""latex"" alt=""$ABCD,\angle BDC=90^o$"" style=""vertical-align: -3px"" width=""172"" height=""16""> and the foot of the perpendicular from <img src=""//latex.artofproblemsolving.com/9/f/f/9ffb448918db29f2a72f8f87f421b3b3cad18f95.png"" class=""latex"" alt=""$D$"" width=""15"" height=""12""> to <img src=""//latex.artofproblemsolving.com/e/2/a/e2a559986ed5a0ffc5654bd367c29dfc92913c36.png"" class=""latex"" alt=""$ABC$"" width=""42"" height=""13""> is the intersection of the altitudes of <span style=""white-space:nowrap;""><img src=""//latex.artofproblemsolving.com/e/2/a/e2a559986ed5a0ffc5654bd367c29dfc92913c36.png"" class=""latex"" alt=""$ABC$"" width=""42"" height=""13"">.</span> Prove that: <img src=""//latex.artofproblemsolving.com/8/2/4/824339119f1244d73bfe8f1fc3776e1abb5c7b00.png"" class=""latexcenter"" alt=""\[ (AB+BC+CA)^2\le6(AD^2+BD^2+CD^2). \]"" width=""357"" height=""19""> When do we have equality?","In the tetrahedron $ABCD,\angle BDC=90^o$ and the foot of the perpendicular from $D$ to $ABC$ is the intersection of the altitudes of $ABC$. Prove that: \[ (AB+BC+CA)^2\le6(AD^2+BD^2+CD^2). \] When do we have equality?",Geometry,4.380952380952381,Medium
284,81,3,International Contest,imo,2010_imo,https://artofproblemsolving.com/community/c3837_2010_imo,https://artofproblemsolving.com/downloads/printable_post_collections/3837,"Find all functions <img src=""//latex.artofproblemsolving.com/4/7/e/47e0cd9d57c4090ae56a8aab39cd8e40d059f0cd.png"" class=""latex"" alt=""$g:\mathbb{N}\rightarrow\mathbb{N}$"" style=""vertical-align: -3px"" width=""78"" height=""15""> such that <img src=""//latex.artofproblemsolving.com/5/a/c/5ac9fce315e8a524a3a01b345cfe76bc76056d68.png"" class=""latexcenter"" alt=""\[\left(g(m)+n\right)\left(g(n)+m\right)\]"" width=""173"" height=""18""> is a perfect square for all <img src=""//latex.artofproblemsolving.com/9/c/b/9cbd3e4be7ba6dbf4b3f34480fd609446c5e5ae5.png"" class=""latex"" alt=""$m,n\in\mathbb{N}.$"" style=""vertical-align: -3px"" width=""73"" height=""15""><br>
<br>
<i>Proposed by Gabriel Carroll, USA</i>","Find all functions $g:\mathbb{N}\rightarrow\mathbb{N}$ such that \[\left(g(m)+n\right)\left(g(n)+m\right)\] is a perfect square for all $m,n\in\mathbb{N}.$  Proposed by Gabriel Carroll, USA",Number Theory,9.335548172757475,Very Hard
512,348,3,International Contest,imo,1971_imo,https://artofproblemsolving.com/community/c3798_1971_imo,https://artofproblemsolving.com/downloads/printable_post_collections/3798,"Prove that we can find an infinite set of positive integers of the from <img src=""//latex.artofproblemsolving.com/2/d/6/2d6027f0ba4899c3d7ddbf69a636fbc10570926c.png"" class=""latex"" alt=""$2^n-3$"" width=""49"" height=""12""> (where <img src=""//latex.artofproblemsolving.com/1/7/4/174fadd07fd54c9afe288e96558c92e0c1da733a.png"" class=""latex"" alt=""$n$"" width=""10"" height=""8""> is a positive integer) every pair of which are relatively prime.",Prove that we can find an infinite set of positive integers of the from $2^n-3$ (where $n$ is a positive integer) every pair of which are relatively prime.,Number Theory,8.1256038647343,Very Hard
331,128,2,International Contest,imo,2002_imo,https://artofproblemsolving.com/community/c3829_2002_imo,https://artofproblemsolving.com/downloads/printable_post_collections/3829,"The circle <img src=""//latex.artofproblemsolving.com/a/d/2/ad28c83c99a8fd0dd2e2e594c9d02ee532765a0a.png"" class=""latex"" alt=""$S$"" width=""12"" height=""12""> has centre <span style=""white-space:nowrap;""><img src=""//latex.artofproblemsolving.com/5/1/d/51da37d984564162c87710ca27bea422f657fb73.png"" class=""latex"" alt=""$O$"" width=""13"" height=""12"">,</span> and <img src=""//latex.artofproblemsolving.com/6/c/5/6c52a41dcbd739f1d026c5d4f181438b75b76976.png"" class=""latex"" alt=""$BC$"" width=""28"" height=""12""> is a diameter of <span style=""white-space:nowrap;""><img src=""//latex.artofproblemsolving.com/a/d/2/ad28c83c99a8fd0dd2e2e594c9d02ee532765a0a.png"" class=""latex"" alt=""$S$"" width=""12"" height=""12"">.</span> Let <img src=""//latex.artofproblemsolving.com/0/1/9/019e9892786e493964e145e7c5cf7b700314e53b.png"" class=""latex"" alt=""$A$"" width=""13"" height=""13""> be a point of <img src=""//latex.artofproblemsolving.com/a/d/2/ad28c83c99a8fd0dd2e2e594c9d02ee532765a0a.png"" class=""latex"" alt=""$S$"" width=""12"" height=""12""> such that <span style=""white-space:nowrap;""><img src=""//latex.artofproblemsolving.com/c/7/e/c7e367c2ca2c115038e88287b941a5753e386d4f.png"" class=""latex"" alt=""$\angle AOB<120{{}^\circ}$"" style=""vertical-align: 0px"" width=""113"" height=""13"">.</span>  Let <img src=""//latex.artofproblemsolving.com/9/f/f/9ffb448918db29f2a72f8f87f421b3b3cad18f95.png"" class=""latex"" alt=""$D$"" width=""15"" height=""12""> be the midpoint of the arc <img src=""//latex.artofproblemsolving.com/5/7/e/57ee5125358c0606c9b588580ddfa66f83e607b7.png"" class=""latex"" alt=""$AB$"" width=""27"" height=""13""> which does not contain <span style=""white-space:nowrap;""><img src=""//latex.artofproblemsolving.com/c/3/3/c3355896da590fc491a10150a50416687626d7cc.png"" class=""latex"" alt=""$C$"" width=""14"" height=""12"">.</span> The line through <img src=""//latex.artofproblemsolving.com/5/1/d/51da37d984564162c87710ca27bea422f657fb73.png"" class=""latex"" alt=""$O$"" width=""13"" height=""12""> parallel to <img src=""//latex.artofproblemsolving.com/0/b/3/0b31cd391bebc36897a8c10ea78e5d584980b049.png"" class=""latex"" alt=""$DA$"" width=""29"" height=""13""> meets the line <img src=""//latex.artofproblemsolving.com/a/1/7/a179ff2638e4799cadd820db205c2beff6299ce9.png"" class=""latex"" alt=""$AC$"" width=""27"" height=""13""> at <span style=""white-space:nowrap;""><img src=""//latex.artofproblemsolving.com/0/2/7/027f4a11d6090f9eac0ce2488df6384dad1263ea.png"" class=""latex"" alt=""$I$"" width=""9"" height=""12"">.</span> The perpendicular bisector of <img src=""//latex.artofproblemsolving.com/b/7/a/b7a762ac8b4e23ffdd778ad6d5a8b97df8c7ce01.png"" class=""latex"" alt=""$OA$"" width=""28"" height=""13""> meets <img src=""//latex.artofproblemsolving.com/a/d/2/ad28c83c99a8fd0dd2e2e594c9d02ee532765a0a.png"" class=""latex"" alt=""$S$"" width=""12"" height=""12""> at <img src=""//latex.artofproblemsolving.com/f/a/2/fa2fa899f0afb05d6837885523503a2d4df434f9.png"" class=""latex"" alt=""$E$"" width=""14"" height=""12""> and at <span style=""white-space:nowrap;""><img src=""//latex.artofproblemsolving.com/a/0/5/a055f405829e64a3b70253ab67cb45ed6ed5bb29.png"" class=""latex"" alt=""$F$"" width=""14"" height=""12"">.</span> Prove that <img src=""//latex.artofproblemsolving.com/0/2/7/027f4a11d6090f9eac0ce2488df6384dad1263ea.png"" class=""latex"" alt=""$I$"" width=""9"" height=""12""> is the incentre of the triangle <img src=""//latex.artofproblemsolving.com/4/4/6/446ef7c4b266d85f9b5238694227e33aaaf0a355.png"" class=""latex"" alt=""$CEF.$"" width=""44"" height=""12"">","The circle $S$ has centre $O$, and $BC$ is a diameter of $S$. Let $A$ be a point of $S$ such that $\angle AOB<120{{}^\circ}$. Let $D$ be the midpoint of the arc $AB$ which does not contain $C$. The line through $O$ parallel to $DA$ meets the line $AC$ at $I$. The perpendicular bisector of $OA$ meets $S$ at $E$ and at $F$. Prove that $I$ is the incentre of the triangle $CEF.$",Geometry,4.917983895019385,Medium
210,7,1,International Contest,imo,2022imo_problems,https://artofproblemsolving.com/community/c3081085_2022imo_problems,https://artofproblemsolving.com/downloads/printable_post_collections/3081085,"The Bank of Oslo issues two types of coin: aluminum (denoted A) and bronze (denoted B). Marianne has <img src=""//latex.artofproblemsolving.com/1/7/4/174fadd07fd54c9afe288e96558c92e0c1da733a.png"" class=""latex"" alt=""$n$"" width=""10"" height=""8""> aluminum coins and <img src=""//latex.artofproblemsolving.com/1/7/4/174fadd07fd54c9afe288e96558c92e0c1da733a.png"" class=""latex"" alt=""$n$"" width=""10"" height=""8""> bronze coins arranged in a row in some arbitrary initial order. A chain is any subsequence of consecutive coins of the same type. Given a fixed positive integer <span style=""white-space:pre;""><img src=""//latex.artofproblemsolving.com/b/4/8/b483e3501453ecf452b0ee6450a206048b015551.png"" class=""latex"" alt=""$k \leq 2n$"" style=""vertical-align: -2px"" width=""54"" height=""15"">,</span> Gilberty repeatedly performs the following operation: he identifies the longest chain containing  the <img src=""//latex.artofproblemsolving.com/9/f/9/9f95e9fc37dc276d9cfc43aba335cde356371cac.png"" class=""latex"" alt=""$k^{th}$"" width=""22"" height=""15""> coin from the left and moves all coins in that chain to the left end of the row. For example, if <img src=""//latex.artofproblemsolving.com/3/9/c/39cf3e35a4981583288d2a7c4b34989916fb7360.png"" class=""latex"" alt=""$n=4$"" style=""vertical-align: 0px"" width=""44"" height=""12""> and <span style=""white-space:pre;""><img src=""//latex.artofproblemsolving.com/e/e/a/eeae143c5c9dbd376ffa1ffa8bdb93a58e8c9889.png"" class=""latex"" alt=""$k=4$"" style=""vertical-align: 0px"" width=""43"" height=""13"">,</span> the process starting from the ordering <img src=""//latex.artofproblemsolving.com/6/d/5/6d5052a74e1ea3221fd6a20b6851f9175da3ee1c.png"" class=""latex"" alt=""$AABBBABA$"" style=""vertical-align: -1px"" width=""115"" height=""14""> would be <img src=""//latex.artofproblemsolving.com/5/0/1/501fb4adfbaa74bd830a9d5270ab24dbe119916f.png"" class=""latex"" alt=""$AABBBABA \to BBBAAABA \to AAABBBBA \to BBBBAAAA \to ...$"" style=""vertical-align: -1px"" width=""584"" height=""14""><br>
<br>
Find all pairs <img src=""//latex.artofproblemsolving.com/6/3/2/6320b22c83b29452652543259a7e2c43eec70cb0.png"" class=""latex"" alt=""$(n,k)$"" style=""vertical-align: -4px"" width=""41"" height=""18""> with <img src=""//latex.artofproblemsolving.com/9/d/d/9dd1fbd45874942b0dbceab14a98d7daee061401.png"" class=""latex"" alt=""$1 \leq k \leq 2n$"" style=""vertical-align: -3px"" width=""89"" height=""17""> such that for every initial ordering, at some moment during the process, the leftmost <img src=""//latex.artofproblemsolving.com/1/7/4/174fadd07fd54c9afe288e96558c92e0c1da733a.png"" class=""latex"" alt=""$n$"" width=""10"" height=""8""> coins will all be of the same type.","The Bank of Oslo issues two types of coin: aluminum (denoted A) and bronze (denoted B). Marianne has $n$ aluminum coins and $n$ bronze coins arranged in a row in some arbitrary initial order. A chain is any subsequence of consecutive coins of the same type. Given a fixed positive integer $k \leq 2n$, Gilberty repeatedly performs the following operation: he identifies the longest chain containing the $k^{th}$ coin from the left and moves all coins in that chain to the left end of the row. For example, if $n=4$ and $k=4$, the process starting from the ordering $AABBBABA$ would be $AABBBABA \to BBBAAABA \to AAABBBBA \to BBBBAAAA \to ...$  Find all pairs $(n,k)$ with $1 \leq k \leq 2n$ such that for every initial ordering, at some moment during the process, the leftmost $n$ coins will all be of the same type.",Combinatorics,2.1073266356285227,Easy
90,5160,1,International Contest,benelux,2018_benelux,https://artofproblemsolving.com/community/c691110_2018_benelux,https://artofproblemsolving.com/downloads/printable_post_collections/691110,"(a) Determine the minimal value of<br>
<img src=""//latex.artofproblemsolving.com/2/4/9/24903dbdcc94283344485f6fc07a2e8114385af4.png"" class=""latex"" alt=""$\displaystyle\left(x+\dfrac{1}{y}\right)\left(x+\dfrac{1}{y}-2018\right)+\left(y+\dfrac{1}{x}\right)\left(y+\dfrac{1}{x}-2018\right), $"" style=""vertical-align: -17px"" width=""442"" height=""43""><br>
where <img src=""//latex.artofproblemsolving.com/2/6/e/26eeb5258ca5099acf8fe96b2a1049c48c89a5e6.png"" class=""latex"" alt=""$x$"" width=""10"" height=""8""> and <img src=""//latex.artofproblemsolving.com/0/9/2/092e364e1d9d19ad5fffb0b46ef4cc7f2da02c1c.png"" class=""latex"" alt=""$y$"" style=""vertical-align: -3px"" width=""9"" height=""11""> vary over the positive reals.<br>
<br>
(b) Determine the minimal value of<br>
<img src=""//latex.artofproblemsolving.com/6/6/1/661dc4ea52418eea5daecdc7e0569822beb1b2d5.png"" class=""latex"" alt=""$\displaystyle\left(x+\dfrac{1}{y}\right)\left(x+\dfrac{1}{y}+2018\right)+\left(y+\dfrac{1}{x}\right)\left(y+\dfrac{1}{x}+2018\right), $"" style=""vertical-align: -17px"" width=""442"" height=""43""><br>
where <img src=""//latex.artofproblemsolving.com/2/6/e/26eeb5258ca5099acf8fe96b2a1049c48c89a5e6.png"" class=""latex"" alt=""$x$"" width=""10"" height=""8""> and <img src=""//latex.artofproblemsolving.com/0/9/2/092e364e1d9d19ad5fffb0b46ef4cc7f2da02c1c.png"" class=""latex"" alt=""$y$"" style=""vertical-align: -3px"" width=""9"" height=""11""> vary over the positive reals.","(a) Determine the minimal value of $\displaystyle\left(x+\dfrac{1}{y}\right)\left(x+\dfrac{1}{y}-2018\right)+\left(y+\dfrac{1}{x}\right)\left(y+\dfrac{1}{x}-2018\right), $ where $x$ and $y$ vary over the positive reals.  (b) Determine the minimal value of $\displaystyle\left(x+\dfrac{1}{y}\right)\left(x+\dfrac{1}{y}+2018\right)+\left(y+\dfrac{1}{x}\right)\left(y+\dfrac{1}{x}+2018\right), $ where $x$ and $y$ vary over the positive reals.",Algebra,4.430992736077482,Medium
299,96,6,International Contest,imo,2008_imo,https://artofproblemsolving.com/community/c3835_2008_imo,https://artofproblemsolving.com/downloads/printable_post_collections/3835,"Let <img src=""//latex.artofproblemsolving.com/3/9/3/39373ad0f592e0aad414c9aebaf981bb327fffc5.png"" class=""latex"" alt=""$ ABCD$"" width=""57"" height=""13""> be a convex quadrilateral with <span style=""white-space:nowrap;""><img src=""//latex.artofproblemsolving.com/2/7/b/27bd9a49f90d1e7fa960e4307cd630fb15632605.png"" class=""latex"" alt=""$ BA\neq BC$"" style=""vertical-align: -4px"" width=""81"" height=""17"">.</span> Denote the incircles of triangles <img src=""//latex.artofproblemsolving.com/2/b/4/2b45ab3d3ac6f84f8948eae63deadbb5ae0da447.png"" class=""latex"" alt=""$ ABC$"" width=""42"" height=""13""> and <img src=""//latex.artofproblemsolving.com/e/5/6/e565bdb20eff6f25feefe101196d2bed68035fcd.png"" class=""latex"" alt=""$ ADC$"" width=""43"" height=""13""> by <img src=""//latex.artofproblemsolving.com/8/1/b/81b392d63ef67f7a93fc2d69320eb640a2c317e9.png"" class=""latex"" alt=""$ \omega_{1}$"" style=""vertical-align: -2px"" width=""17"" height=""10""> and <img src=""//latex.artofproblemsolving.com/b/3/2/b32e7fd0e6f3cf47dee8fd6685c98f8eae73c4a2.png"" class=""latex"" alt=""$ \omega_{2}$"" style=""vertical-align: -2px"" width=""17"" height=""10""> respectively. Suppose that there exists a circle <img src=""//latex.artofproblemsolving.com/d/a/8/da815ae262e1cda637d8659e7a754e9dbfa8a959.png"" class=""latex"" alt=""$ \omega$"" width=""11"" height=""8""> tangent to ray <img src=""//latex.artofproblemsolving.com/8/5/b/85b5e088dbe863cee6b5d25d072571c59a12fb4c.png"" class=""latex"" alt=""$ BA$"" width=""28"" height=""13""> beyond <img src=""//latex.artofproblemsolving.com/a/f/a/afa1e039a54a9d6ce6141d013c997827f98f4add.png"" class=""latex"" alt=""$ A$"" width=""13"" height=""13""> and to the ray <img src=""//latex.artofproblemsolving.com/e/3/4/e3427a9945d3b1de6a7c0b6862f3228415ea8bca.png"" class=""latex"" alt=""$ BC$"" width=""28"" height=""12""> beyond <span style=""white-space:nowrap;""><img src=""//latex.artofproblemsolving.com/0/e/7/0e78e1fa5523edccdfff7441e3889d048aaee5f6.png"" class=""latex"" alt=""$ C$"" width=""14"" height=""12"">,</span> which is also tangent to the lines <img src=""//latex.artofproblemsolving.com/3/f/3/3f3a5cc49a11465eb9aaef9f980ed62b4e696f8c.png"" class=""latex"" alt=""$ AD$"" width=""28"" height=""13""> and <span style=""white-space:nowrap;""><img src=""//latex.artofproblemsolving.com/b/a/4/ba442f9231826f849adfd6b270c42a50da61f82d.png"" class=""latex"" alt=""$ CD$"" width=""29"" height=""12"">.</span> Prove that the common external tangents to <img src=""//latex.artofproblemsolving.com/8/1/b/81b392d63ef67f7a93fc2d69320eb640a2c317e9.png"" class=""latex"" alt=""$ \omega_{1}$"" style=""vertical-align: -2px"" width=""17"" height=""10""> and <img src=""//latex.artofproblemsolving.com/3/e/7/3e76cd239b6f2565d2817410edc5cbd49a4508a7.png"" class=""latex"" alt=""$\omega_{2}$"" style=""vertical-align: -2px"" width=""17"" height=""10""> intersect on <span style=""white-space:nowrap;""><img src=""//latex.artofproblemsolving.com/d/a/8/da815ae262e1cda637d8659e7a754e9dbfa8a959.png"" class=""latex"" alt=""$ \omega$"" width=""11"" height=""8"">.</span><br>
<br>
<br>
<i>Author: Vladimir Shmarov, Russia</i>","Let $ ABCD$ be a convex quadrilateral with $ BA\neq BC$. Denote the incircles of triangles $ ABC$ and $ ADC$ by $ \omega_{1}$ and $ \omega_{2}$ respectively. Suppose that there exists a circle $ \omega$ tangent to ray $ BA$ beyond $ A$ and to the ray $ BC$ beyond $ C$, which is also tangent to the lines $ AD$ and $ CD$. Prove that the common external tangents to $ \omega_{1}$ and $\omega_{2}$ intersect on $ \omega$.   Author: Vladimir Shmarov, Russia",Geometry,9.628838451268358,Very Hard
181,6149,4,International Contest,egmo,2015_egmo,https://artofproblemsolving.com/community/c68714_2015_egmo,https://artofproblemsolving.com/downloads/printable_post_collections/68714,"Determine whether there exists an infinite sequence <img src=""//latex.artofproblemsolving.com/d/7/4/d745b81add053aa31f45d72cb9a898e3441e74bd.png"" class=""latex"" alt=""$a_1, a_2, a_3, \dots$"" style=""vertical-align: -3px"" width=""95"" height=""11""> of positive integers<br>
which satisfies the equality <img src=""//latex.artofproblemsolving.com/4/a/9/4a9cc873fd72a001413f0bc1558025e0673ea9cd.png"" class=""latexcenter"" alt=""\[a_{n+2}=a_{n+1}+\sqrt{a_{n+1}+a_{n}} \]"" width=""208"" height=""18""> for every positive integer <span style=""white-space:nowrap;""><img src=""//latex.artofproblemsolving.com/1/7/4/174fadd07fd54c9afe288e96558c92e0c1da733a.png"" class=""latex"" alt=""$n$"" width=""10"" height=""8"">.</span>","Determine whether there exists an infinite sequence $a_1, a_2, a_3, \dots$ of positive integers which satisfies the equality \[a_{n+2}=a_{n+1}+\sqrt{a_{n+1}+a_{n}} \] for every positive integer $n$.",,4.980340760157274,Medium
544,380,5,International Contest,imo,1966_imo,https://artofproblemsolving.com/community/c3793_1966_imo,https://artofproblemsolving.com/downloads/printable_post_collections/3793,"Solve the system of equations <img src=""//latex.artofproblemsolving.com/9/1/1/911177641c7258667f49fbea44729e817377332a.png"" class=""latexcenter"" alt=""\[ |a_1-a_2|x_2+|a_1-a_3|x_3+|a_1-a_4|x_4=1 \]"" width=""327"" height=""18""> <img src=""//latex.artofproblemsolving.com/a/b/f/abf7ceb07344e916e32c2814b6b40d29d21e904f.png"" class=""latexcenter"" alt=""\[ |a_2-a_1|x_1+|a_2-a_3|x_3+|a_2-a_4|x_4=1 \]"" width=""327"" height=""18""> <img src=""//latex.artofproblemsolving.com/c/6/b/c6b5eea856117f8727906a5a1a9ef0b72dd6d0fe.png"" class=""latexcenter"" alt=""\[ |a_3-a_1|x_1+|a_3-a_2|x_2+|a_3-a_4|x_4=1 \]"" width=""327"" height=""18""> <img src=""//latex.artofproblemsolving.com/4/4/c/44ceaed5b5991703ae84115a2ef3e1f8baf8e11e.png"" class=""latexcenter"" alt=""\[ |a_4-a_1|x_1+|a_4-a_2|x_2+|a_4-a_3|x_3=1 \]"" width=""327"" height=""18""> where <img src=""//latex.artofproblemsolving.com/7/3/5/73571b015609a99f144d1eaa014bb986bc106628.png"" class=""latex"" alt=""$a_1, a_2, a_3, a_4$"" style=""vertical-align: -3px"" width=""91"" height=""11""> are four different real numbers.","Solve the system of equations \[ |a_1-a_2|x_2+|a_1-a_3|x_3+|a_1-a_4|x_4=1 \] \[ |a_2-a_1|x_1+|a_2-a_3|x_3+|a_2-a_4|x_4=1 \] \[ |a_3-a_1|x_1+|a_3-a_2|x_2+|a_3-a_4|x_4=1 \] \[ |a_4-a_1|x_1+|a_4-a_2|x_2+|a_4-a_3|x_3=1 \] where $a_1, a_2, a_3, a_4$ are four different real numbers.",Algebra,2.8571428571428568,Easy
137,6105,2,International Contest,egmo,2022_egmo,https://artofproblemsolving.com/community/c3024020_2022_egmo,https://artofproblemsolving.com/downloads/printable_post_collections/3024020,"Let <img src=""//latex.artofproblemsolving.com/3/9/7/397a51d1b5e4cb3653c0a8a1cac99b807cadb43e.png"" class=""latex"" alt=""$\mathbb{N}=\{1, 2, 3, \dots\}$"" style=""vertical-align: -5px"" width=""133"" height=""20""> be the set of all positive integers. Find all functions <img src=""//latex.artofproblemsolving.com/f/8/4/f84ba5284b311a66dd04f32ff5f63dd497acf765.png"" class=""latex"" alt=""$f : \mathbb{N} \rightarrow \mathbb{N}$"" style=""vertical-align: -3px"" width=""79"" height=""16""> such that for any positive integers <img src=""//latex.artofproblemsolving.com/c/7/d/c7d457e388298246adb06c587bccd419ea67f7e8.png"" class=""latex"" alt=""$a$"" width=""9"" height=""8""> and <span style=""white-space:pre;""><img src=""//latex.artofproblemsolving.com/8/1/3/8136a7ef6a03334a7246df9097e5bcc31ba33fd2.png"" class=""latex"" alt=""$b$"" style=""vertical-align: -1px"" width=""10"" height=""14"">,</span> the following two conditions hold:<br>
(1) <span style=""white-space:pre;""><img src=""//latex.artofproblemsolving.com/6/d/b/6db3cbb85e97c32adc87b5fb930a2eca469beba3.png"" class=""latex"" alt=""$f(ab) = f(a)f(b)$"" style=""vertical-align: -4px"" width=""132"" height=""18"">,</span> and<br>
(2) at least two of the numbers <span style=""white-space:pre;""><img src=""//latex.artofproblemsolving.com/1/a/c/1acc6639de4f1c620680bec4adf3e668f4db723f.png"" class=""latex"" alt=""$f(a)$"" style=""vertical-align: -4px"" width=""33"" height=""18"">,</span> <span style=""white-space:pre;""><img src=""//latex.artofproblemsolving.com/0/b/0/0b041c557e15a9393c58bfeedd30d3c93f5c7de8.png"" class=""latex"" alt=""$f(b)$"" style=""vertical-align: -4px"" width=""31"" height=""18"">,</span> and <img src=""//latex.artofproblemsolving.com/f/c/6/fc6240a40c48a770c5cc9fa616c59adbec2c17e4.png"" class=""latex"" alt=""$f(a+b)$"" style=""vertical-align: -4px"" width=""63"" height=""18""> are equal.","Let $\mathbb{N}=\{1, 2, 3, \dots\}$ be the set of all positive integers. Find all functions $f : \mathbb{N} \rightarrow \mathbb{N}$ such that for any positive integers $a$ and $b$, the following two conditions hold: (1) $f(ab) = f(a)f(b)$, and (2) at least two of the numbers $f(a)$, $f(b)$, and $f(a+b)$ are equal.",,7.792792792792794,Hard
