Country Name,Country Code,Contestant Code,Given Name,Family Name,P1,P2,P3,P4,P5,P6,P7,P8,Total,Award,Extra Awards,Rank,European Rank
Belgium,BEL,BEL1,Elise,Delhez,0,1,0,0,5,1,0,0,7,,,53,45
Belgium,BEL,BEL2,Sophie,Peng,7,0,2,0,0,0,1,0,10,Honourable Mention,,46,38
Bulgaria,BGR,BGR1,Pavlena,Nenova,7,7,7,0,7,6,7,0,41,Gold Medal,,1,1
Bulgaria,BGR,BGR2,Ksenia,Tsocheva,7,2,2,0,1,0,0,0,12,Honourable Mention,,43,36
Bulgaria,BGR,BGR3,Kalina,Petrova,7,7,2,0,7,6,0,2,31,Silver Medal,,10,8
Bulgaria,BGR,BGR4,Katherine,Krem,0,2,0,0,1,0,0,0,3,,,56,48
Finland,FIN,FIN1,Pihla,Karanko,0,0,0,0,0,0,1,0,1,,,62,54
Finland,FIN,FIN2,Katja,Kulmala,0,0,1,0,0,6,0,0,7,,,53,45
Finland,FIN,FIN3,Neea,Palojärvi,7,0,0,0,0,5,0,0,12,Honourable Mention,,43,36
Finland,FIN,FIN4,Jiali,Yan,7,2,1,0,7,0,0,0,17,Bronze Medal,,30,27
Hungary,HUN,HUN1,Melinda Flóra,Kiss,7,1,1,0,7,1,2,0,19,Bronze Medal,,29,26
Hungary,HUN,HUN2,Emese Anna,Tóth,0,5,0,1,2,7,7,0,22,Bronze Medal,,26,23
Hungary,HUN,HUN3,Zsuzsanna,Bősze,0,5,1,0,1,1,0,0,8,,,49,41
Hungary,HUN,HUN4,Eszter,Kiss,0,7,1,0,6,6,0,3,23,Bronze Medal,,22,19
Indonesia,IDN,IDN1,Christa,Lorenzia Soesanto,7,2,7,0,7,0,7,0,30,Silver Medal,,12,
Indonesia,IDN,IDN2,Natasha,Sutedja,7,1,0,0,7,0,0,0,15,Bronze Medal,,39,
Ireland,IRL,IRL1,Niamh,Broderick,0,2,0,0,0,0,0,0,2,,,58,50
Ireland,IRL,IRL2,Yunwoo,Lee,1,7,0,0,0,1,0,0,9,Honourable Mention,,48,40
Ireland,IRL,IRL3,Andrea,Shui,0,0,0,0,1,0,0,0,1,,,62,54
Ireland,IRL,IRL4,Jessica,Weitbrecht,0,0,0,0,0,0,0,0,0,,,68,59
Italy,ITA,ITA1,Federica,Cecchetto,7,2,1,3,1,0,0,0,14,Bronze Medal,,41,34
Italy,ITA,ITA2,Alice,Cortinovis,7,7,2,0,1,6,7,0,30,Silver Medal,,12,10
Italy,ITA,ITA3,Giada,Franz,7,7,7,0,7,6,3,0,37,Gold Medal,,4,3
Italy,ITA,ITA4,Angela,Veronese,7,2,1,0,7,2,1,0,20,Bronze Medal,,28,25
Luxembourg,LUX,LUX1,Christina,Meyer,7,2,2,0,1,2,0,0,14,Bronze Medal,,41,34
Luxembourg,LUX,LUX2,Carole,Muller,0,0,0,0,0,0,0,0,0,,,68,59
Luxembourg,LUX,LUX3,Line,Hoeltgen,7,0,0,0,1,0,0,0,8,Honourable Mention,,49,41
Latvia,LVA,LVA1,Agnese,Kerubina,7,0,2,0,0,0,7,0,16,Bronze Medal,,36,31
Latvia,LVA,LVA2,Ilze,Osina,0,1,0,0,0,0,1,0,2,,,58,50
Latvia,LVA,LVA3,Maira,Vasilevska,0,0,0,0,1,0,0,0,1,,,62,54
Latvia,LVA,LVA4,Parsla Esmeralda,Sietina,0,0,0,0,0,0,0,0,0,,,68,59
Netherlands,NLD,NLD1,Loes,Bazuin,7,0,0,0,0,1,0,0,8,Honourable Mention,,49,41
Netherlands,NLD,NLD2,Carina,Both,0,0,0,0,0,4,0,0,4,,,55,47
Netherlands,NLD,NLD3,Michelle,Sweering,0,5,1,0,1,6,0,2,15,Bronze Medal,,39,33
Netherlands,NLD,NLD4,Marieke,van der Wegen,7,1,1,0,0,1,0,0,10,Honourable Mention,,46,38
Poland,POL,POL1,Agata,Latacz,7,1,1,0,6,6,7,0,28,Silver Medal,,15,12
Poland,POL,POL2,Barbara,Mroczek,7,7,2,0,7,6,7,0,36,Gold Medal,,5,4
Poland,POL,POL3,Anna,Olech,7,1,1,0,6,5,7,0,27,Silver Medal,,18,15
Poland,POL,POL4,Anna,Siennicka,7,7,3,0,7,6,1,0,31,Silver Medal,,10,8
Romania,ROU,ROU1,Simona,Diaconu,7,7,7,0,7,5,7,0,40,Gold Medal,,3,2
Romania,ROU,ROU2,Andreea,Măgălie,7,6,1,0,5,5,2,0,26,Silver Medal,,20,17
Romania,ROU,ROU3,Ştefana-Lucia,Aniţa,7,7,2,0,7,5,0,0,28,Silver Medal,,15,12
Romania,ROU,ROU4,Ioana-Maria,Tamaş,7,0,7,0,7,6,0,0,27,Silver Medal,,18,15
Saudi Arabia,SAU,SAU1,Doha,Aljeddawi,0,0,0,0,6,5,1,0,12,,,43,
Saudi Arabia,SAU,SAU2,Abrar,Alshaikh,7,1,2,0,7,0,0,0,17,Bronze Medal,,30,
Saudi Arabia,SAU,SAU3,Amaal,Alsunaidi,0,0,0,0,1,0,0,0,1,,,62,
Serbia,SRB,SRB1,Nevena,Nikolic,7,1,2,0,6,0,1,0,17,Bronze Medal,,30,27
Serbia,SRB,SRB2,Annamaria,Piri,0,7,0,0,0,1,0,0,8,Honourable Mention,,49,41
Serbia,SRB,SRB3,Jelena,Trisovic,7,1,1,0,7,0,1,0,17,Bronze Medal,,30,27
Serbia,SRB,SRB4,Marijana,Vujadinovic,7,1,0,0,7,0,1,0,16,Bronze Medal,,36,31
Switzerland,SUI,SUI1,Laura,Gremion,7,7,2,0,5,1,0,0,22,Bronze Medal,,26,23
Switzerland,SUI,SUI2,Viviane,Kehl,7,7,2,0,1,5,1,0,23,Bronze Medal,,22,19
Switzerland,SUI,SUI3,Charlotte,Junod,0,0,1,0,0,0,0,0,1,,,62,54
Switzerland,SUI,SUI4,Jana,Cslovjecsek,0,1,1,0,0,0,0,0,2,,,58,50
Türkiye,TUR,TUR1,Sena Nur,Arbağ,7,2,7,0,7,2,7,0,32,Silver Medal,,9,7
Türkiye,TUR,TUR2,Feyza,Duman,0,1,1,0,1,0,0,0,3,,,56,48
Türkiye,TUR,TUR3,Gülşah,Onur,7,0,2,0,7,0,7,0,23,Bronze Medal,,22,19
Türkiye,TUR,TUR4,Berfin,Şimşek,7,1,7,0,7,6,7,0,35,Gold Medal,,7,5
Ukraine,UKR,UKR1,Yaroslava,Serdyuk,7,5,7,0,7,0,7,0,33,Silver Medal,,8,6
Ukraine,UKR,UKR2,Mariia,Pavliuk,7,7,1,0,5,7,1,0,28,Silver Medal,,15,12
Ukraine,UKR,UKR3,Yuliya,Kravchenko,7,7,0,0,5,4,7,0,30,Silver Medal,,12,10
Ukraine,UKR,UKR4,Olena,Kharytonova,7,7,1,0,7,2,2,0,26,Silver Medal,,20,17
United Kingdom,UNK,UNK1,Natalie,Behague,7,1,0,0,3,7,5,0,23,Bronze Medal,,22,19
United Kingdom,UNK,UNK2,Elizabeth,Lee,0,1,0,0,0,0,0,0,1,,,62,54
United Kingdom,UNK,UNK3,Ella,Mi,0,1,0,0,1,0,0,0,2,,,58,50
United Kingdom,UNK,UNK4,Katya,Richards,0,7,2,0,1,0,7,0,17,Bronze Medal,,30,27
United States of America,USA,USA1,Sarah,Herrmann,0,7,2,0,1,6,1,0,17,Bronze Medal,,30,
United States of America,USA,USA2,Julia,Huang,6,1,0,0,7,2,0,0,16,Bronze Medal,,36,
United States of America,USA,USA3,Danielle,Wang,7,7,7,0,7,6,7,0,41,Gold Medal,,1,
United States of America,USA,USA4,Victoria,Xia,7,7,2,0,7,7,6,0,36,Gold Medal,,5,
