"Year","Country","Number","First name","Last name","Middle name","Gender","P1","P2","P3","P4","Total score","Award"
"2009","Belgium","1","Löic","Burger","","m","7","1","1","0","9","bronze"
"2009","Belgium","2","Cédric","De Groote","","m","4","2","2","1","9","bronze"
"2009","Belgium","3","Florian","De Leger","","m","1","3","1","0","5",""
"2009","Belgium","4","Antoine","Dujardin","","m","1","0","2","0","3",""
"2009","Belgium","5","Nicolas","Radu","","m","7","7","1","1","16","silver"
"2009","Belgium","6","Thiebout","Delabie","","m","3","1","1","1","6",""
"2009","Belgium","7","Heide","Goethals","","f","3","1","0","0","4",""
"2009","Belgium","8","Alexander","Lemmens","","m","7","2","7","0","16","silver"
"2009","Belgium","9","Wouter","Verbeke","","m","1","0","2","0","3",""
"2009","Belgium","10","Andries","Waelkens","","m","3","2","6","5","16","silver"
"2009","Luxembourg","1","Pierre","Haas","","m","7","2","5","1","15","bronze"
"2009","Luxembourg","2","Jingran","Lin","","f","7","1","1","4","13","bronze"
"2009","Luxembourg","3","Marc","Sinner","","m","7","2","0","3","12","bronze"
"2009","Luxembourg","4","Philippe","Schramm","","m","3","2","1","0","6",""
"2009","Luxembourg","5","Grégoire","Genest","","m","1","0","1","2","4",""
"2009","Luxembourg","6","Jérôme","Urhausen","","m","0","2","1","0","3",""
"2009","Luxembourg","7","Eline","Hentgen","","f","1","0","1","0","2",""
"2009","Luxembourg","8","Charel","Eilenbecker","","m","0","0","1","0","1",""
"2009","Luxembourg","9","Sarah Elena Ivana","Bosman","","f","1","1","2","0","4",""
"2009","Luxembourg","10","Luc","Ohles","","m","3","0","0","0","3",""
"2009","Netherlands","1","Wouter","Berkelmans","","m","7","7","7","3","24","gold"
"2009","Netherlands","2","Raymond","Bommel","van","m","7","7","7","7","28","gold"
"2009","Netherlands","3","Harm","Campmans","","m","4","1","2","0","7",""
"2009","Netherlands","4","Jelle","Hooff","van den","m","6","1","3","0","10","bronze"
"2009","Netherlands","5","Madelon","Kemp","de","f","2","1","0","0","3",""
"2009","Netherlands","6","David","Kok","","m","7","1","2","0","10","bronze"
"2009","Netherlands","7","Peter","Koymans","","m","4","1","1","0","6",""
"2009","Netherlands","8","Maarten","Roelofsma","","m","4","7","5","1","17","silver"
"2009","Netherlands","9","Wadim","Sharshov","","m","4","0","2","1","7",""
"2009","Netherlands","10","Jaap","Wagenaar","","m","4","1","2","0","7",""
"2010","Belgium","1","Loïc","Burger","","m","3","7","2","7","19","silver"
"2010","Belgium","2","Antoine","Dujardin","","m","7","2","7","2","18","silver"
"2010","Belgium","3","Benoît","Legat","","m","7","2","0","6","15","bronze"
"2010","Belgium","4","Sophie","Peng-Casavecchia","","f","2","1","0","1","4",""
"2010","Belgium","5","François","Staelens","","m","7","2","0","0","9","hm"
"2010","Belgium","6","Stijn","Cambie","","m","7","4","1","7","19","silver"
"2010","Belgium","7","Heide","Goethals","","f","3","1","0","1","5",""
"2010","Belgium","8","Arne","Meulemans","","m","3","1","0","3","7",""
"2010","Belgium","9","Tim","Seynnaeve","","m","6","2","7","0","15","bronze"
"2010","Belgium","10","Pieter","Spaas","","m","7","3","0","3","13","bronze"
"2010","Luxembourg","1","Grégoire","Genest","","m","6","2","5","4","17","silver"
"2010","Luxembourg","2","Philippe","Schram","","m","7","7","1","5","20","silver"
"2010","Luxembourg","3","Steve","Muller","","m","0","6","7","0","13","bronze"
"2010","Luxembourg","4","Nicolas","Atten","","m","2","0","0","1","3",""
"2010","Luxembourg","5","Jérôme","Urhausen","","m","7","3","0","0","10","hm"
"2010","Luxembourg","6","Gilles","Neyens","","m","0","2","7","1","10","hm"
"2010","Luxembourg","7","Adrian","Gheorghe","","m","0","0","0","1","1",""
"2010","Luxembourg","8","Philippe","Scholtes","","m","0","0","0","0","0",""
"2010","Luxembourg","9","Pol","Duhr","","m","0","0","5","0","5",""
"2010","Netherlands","1","Guus","Berkelmans","","m","2","5","2","2","11",""
"2010","Netherlands","2","Harm","Campmans","","m","3","2","2","3","10",""
"2010","Netherlands","3","Ragnar","Groot Koerkamp","","m","3","7","1","1","12","hm"
"2010","Netherlands","4","Jeroen","Huijben","","m","6","5","1","4","16","bronze"
"2010","Netherlands","5","Madelon","Kemp","de","f","3","3","4","1","11",""
"2010","Netherlands","6","David","Kok","","m","3","2","7","1","13","bronze"
"2010","Netherlands","7","Daniël","Kroes","","m","6","7","2","4","19","silver"
"2010","Netherlands","8","Merlijn","Staps","","m","7","7","6","7","27","gold"
"2010","Netherlands","9","Niels","Voorneveld","","m","6","2","4","2","14","bronze"
"2010","Netherlands","10","Henk-Jaap","Wagenaar","","m","2","6","0","2","10",""
"2010","Slovenia","1","Matej","Aleksandrov","","m","7","4","7","7","25","gold"
"2010","Slovenia","2","Matjaž","Leonardis","","m","7","7","2","5","21","silver"
"2010","Slovenia","3","Tomaž","Stepišnik Perdih","","m","2","7","6","1","16","bronze"
"2010","Slovenia","4","Aleš","Omerzel","","m","7","3","1","3","14","bronze"
"2010","Slovenia","5","Nik","Jazbinšek","","m","3","3","6","1","13","bronze"
"2010","Slovenia","6","Matej","Mlinarič","","m","3","3","1","3","10",""
"2010","Slovenia","7","Veno","Mramor","","m","7","2","1","2","12","hm"
"2010","Slovenia","8","Neža","Žager Korenjak","","f","0","2","3","2","7",""
"2010","Spain","1","Ander","Lamaison","","m","7","4","7","7","25","gold"
"2010","Spain","2","Moisés","Herradón","","m","3","7","7","5","22","gold"
"2010","Spain","3","Pablo","Boixeda","","m","7","7","3","1","18","silver"
"2010","Spain","4","Guillem","Alsina","","m","3","2","0","4","9",""
"2010","Spain","5","Óscar","Rivero","","m","7","7","4","5","23","gold"
"2010","Spain","6","Ferran","Alet","","m","3","3","0","2","8",""
"2010","Spain","7","Darío","Nieuwenhuis","","m","1","2","2","0","5",""
"2010","Spain","8","José","Sebastián","","m","0","2","0","4","6",""
"2010","Spain","9","Jaime","Mendizábal","","m","7","1","0","0","8","hm"
"2010","Switzerland","1","Laura","Gremion","","f","1","1","2","3","7",""
"2010","Switzerland","2","Clemens","Pohle","","m","7","3","3","4","17","silver"
"2010","Switzerland","3","Pascal","Su","","m","7","2","6","1","16","bronze"
"2010","Switzerland","4","Cyril","Frei","","m","5","4","0","0","9",""
"2010","Switzerland","5","Jürg","Bachmann","","m","7","3","1","2","13","bronze"
"2010","Switzerland","6","Raphael","Schumacher","","m","3","2","0","1","6",""
"2010","Switzerland","7","Nikola","Djokic","","m","7","6","3","1","17","silver"
"2010","Switzerland","8","Alain","Vaucher","","m","7","3","3","2","15","bronze"
"2011","Belgium","1","Stijn","Cambie","","m","7","4","0","1","12","hm"
"2011","Belgium","2","Victor","De Baere","","m","3","0","2","7","12","hm"
"2011","Belgium","3","Elias","Moons","","m","6","0","0","4","10",""
"2011","Belgium","4","Dieter","Plessers","","m","3","0","0","3","6",""
"2011","Belgium","5","Tim","Seynnaeve","","m","6","7","7","6","26","gold"
"2011","Belgium","6","Alexander","Fisch","","m","7","7","7","2","23","silver"
"2011","Belgium","7","Victor","Lecomte","","m","2","3","7","0","12","hm"
"2011","Belgium","8","Benoît","Legat","","m","6","6","3","3","18","bronze"
