id_key,year,country,all,male,female,p1,p2,p3,p4,p5,p6,p7,total
1,1959,Romania,8,6,-1,,,,,,,,249.0
2,1959,Hungary,8,8,-1,,,,,,,,233.0
3,1959,Czechoslovakia,8,5,-1,,,,,,,,192.0
4,1959,Bulgaria,8,6,2,,,,,,,,131.0
5,1959,Poland,8,7,1,,,,,,,,122.0
6,1959,Union of Soviet Socialist Republics,4,4,-1,,,,,,,,111.0
7,1959,German Democratic Republic,8,5,3,,,,,,,,40.0
8,1960,Czechoslovakia,8,6,-1,,,,,,,,257.0
9,1960,Hungary,8,8,-1,,,,,,,,248.0
10,1960,Romania,8,4,-1,,,,,,,,248.0
11,1960,Bulgaria,8,7,1,,,,,,,,175.0
12,1960,German Democratic Republic,7,7,-1,,,,,,,,38.0
13,1961,Hungary,8,8,-1,,,,,,,,270.0
14,1961,Poland,8,8,-1,,,,,,,,203.0
15,1961,Romania,8,6,-1,,,,,,,,197.0
16,1961,Czechoslovakia,8,1,-1,,,,,,,,159.0
17,1961,German Democratic Republic,8,6,2,,,,,,,,146.0
18,1961,Bulgaria,8,5,3,,,,,,,,108.0
19,1962,Hungary,8,8,-1,,,,,,,,289.0
20,1962,Union of Soviet Socialist Republics,8,7,1,,,,,,,,263.0
21,1962,Romania,8,5,-1,,,,,,,,257.0
22,1962,Czechoslovakia,8,7,-1,38.0,42.0,55.0,30.0,30.0,10.0,7.0,212.0
23,1962,Poland,8,7,1,,,,,,,,212.0
24,1962,Bulgaria,8,7,1,,,,,,,,196.0
25,1962,German Democratic Republic,8,7,1,,,,,,,,153.0
26,1963,Union of Soviet Socialist Republics,8,8,-1,,,,,,,,271.0
27,1963,Hungary,8,8,-1,,,,,,,,234.0
28,1963,Romania,8,5,-1,,,,,,,,191.0
29,1963,Yugoslavia,8,6,2,,,,,,,,162.0
30,1963,Czechoslovakia,8,2,-1,28.0,39.0,13.0,14.0,13.0,44.0,,151.0
31,1963,Bulgaria,8,8,-1,,,,,,,,145.0
32,1963,German Democratic Republic,8,8,-1,,,,,,,,140.0
33,1963,Poland,8,8,-1,,,,,,,,134.0
34,1964,Union of Soviet Socialist Republics,8,8,-1,56.0,54.0,48.0,24.0,35.0,52.0,,269.0
35,1964,Hungary,8,8,-1,53.0,37.0,48.0,31.0,37.0,47.0,,253.0
36,1964,Romania,8,6,-1,50.0,35.0,40.0,2.0,38.0,48.0,,213.0
37,1964,Poland,8,8,-1,48.0,33.0,42.0,6.0,33.0,47.0,,209.0
38,1964,Bulgaria,8,8,-1,33.0,29.0,41.0,18.0,29.0,29.0,,198.0
39,1964,German Democratic Republic,8,6,2,56.0,30.0,40.0,6.0,25.0,39.0,,196.0
40,1964,Czechoslovakia,8,3,1,43.0,20.0,45.0,18.0,26.0,42.0,,194.0
41,1964,Mongolia,8,-1,-1,39.0,44.0,42.0,1.0,25.0,18.0,,169.0
42,1964,Yugoslavia,8,7,1,34.0,28.0,36.0,1.0,26.0,30.0,,155.0
43,1965,Union of Soviet Socialist Republics,8,8,-1,25.0,46.0,64.0,43.0,42.0,61.0,,281.0
44,1965,Hungary,8,8,-1,29.0,36.0,50.0,38.0,45.0,46.0,,244.0
45,1965,Romania,8,7,1,27.0,35.0,47.0,39.0,53.0,21.0,,222.0
46,1965,Poland,8,7,1,28.0,25.0,33.0,44.0,40.0,8.0,,178.0
47,1965,German Democratic Republic,8,7,1,23.0,17.0,42.0,34.0,37.0,22.0,,175.0
48,1965,Czechoslovakia,8,7,1,28.0,17.0,29.0,37.0,33.0,15.0,,159.0
49,1965,Yugoslavia,8,8,-1,26.0,20.0,15.0,33.0,18.0,25.0,,137.0
50,1965,Bulgaria,8,7,1,13.0,6.0,36.0,21.0,10.0,8.0,,93.0
51,1965,Mongolia,8,-1,-1,8.0,8.0,6.0,22.0,8.0,11.0,,63.0
52,1965,Finland,8,4,4,12.0,6.0,0.0,24.0,17.0,3.0,,62.0
53,1966,Union of Soviet Socialist Republics,8,8,-1,,,,,,,,293.0
54,1966,Hungary,8,8,-1,,,,,,,,281.0
55,1966,German Democratic Republic,8,8,-1,,,,,,,,280.0
56,1966,Poland,8,8,-1,,,,,,,,269.0
57,1966,Romania,8,4,-1,,,,,,,,257.0
58,1966,Bulgaria,8,7,1,,,,,,,,236.0
59,1966,Yugoslavia,8,8,-1,,,,,,,,224.0
60,1966,Czechoslovakia,8,8,-1,,,,,,,,215.0
61,1966,Mongolia,8,-1,-1,,,,,,,,90.0
62,1967,Union of Soviet Socialist Republics,8,8,-1,,,,,,,,275.0
63,1967,German Democratic Republic,8,8,-1,,,,,,,,257.0
64,1967,Hungary,8,8,-1,,,,,,,,251.0
65,1967,United Kingdom,8,8,-1,30.0,39.0,28.0,38.0,39.0,57.0,,231.0
66,1967,Romania,8,5,-1,,,,,,,,214.0
67,1967,Bulgaria,8,7,1,,,,,,,,159.0
68,1967,Czechoslovakia,8,8,-1,24.0,32.0,24.0,28.0,18.0,33.0,,159.0
69,1967,Yugoslavia,8,8,-1,,,,,,,,136.0
70,1967,Sweden,8,8,-1,22.0,20.0,19.0,27.0,28.0,19.0,,135.0
71,1967,Italy,6,6,-1,,,,,,,,110.0
72,1967,Poland,8,8,-1,,,,,,,,101.0
73,1967,Mongolia,8,-1,-1,,,,,,,,87.0
74,1967,France,5,-1,-1,,,,,,,,41.0
75,1968,German Democratic Republic,8,8,-1,46.0,56.0,47.0,40.0,52.0,63.0,,304.0
76,1968,Union of Soviet Socialist Republics,8,8,-1,46.0,56.0,44.0,40.0,50.0,62.0,,298.0
77,1968,Hungary,8,8,-1,43.0,51.0,46.0,40.0,52.0,59.0,,291.0
78,1968,United Kingdom,8,8,-1,,,,,,,,263.0
79,1968,Poland,8,8,-1,39.0,56.0,47.0,34.0,45.0,41.0,,262.0
80,1968,Sweden,8,8,-1,43.0,43.0,25.0,40.0,50.0,55.0,,256.0
81,1968,Czechoslovakia,8,8,-1,41.0,53.0,30.0,25.0,42.0,57.0,,248.0
82,1968,Romania,8,8,-1,37.0,46.0,42.0,24.0,34.0,25.0,,208.0
83,1968,Bulgaria,8,8,-1,29.0,48.0,25.0,33.0,28.0,41.0,,204.0
84,1968,Yugoslavia,8,8,-1,34.0,54.0,20.0,19.0,33.0,19.0,,179.0
85,1968,Italy,8,8,-1,13.0,32.0,15.0,23.0,14.0,35.0,,132.0
86,1968,Mongolia,8,-1,-1,16.0,40.0,7.0,2.0,3.0,6.0,,74.0
87,1969,Hungary,8,8,-1,28.0,53.0,54.0,34.0,48.0,30.0,,247.0
88,1969,German Democratic Republic,8,8,-1,38.0,45.0,44.0,35.0,49.0,29.0,,240.0
89,1969,Union of Soviet Socialist Republics,8,7,1,30.0,52.0,42.0,30.0,48.0,29.0,,231.0
90,1969,Romania,8,7,-1,33.0,36.0,42.0,28.0,47.0,33.0,,219.0
91,1969,United Kingdom,8,8,-1,20.0,43.0,50.0,16.0,41.0,23.0,,193.0
92,1969,Bulgaria,8,6,2,34.0,33.0,20.0,25.0,47.0,30.0,,189.0
93,1969,Yugoslavia,8,8,-1,25.0,41.0,21.0,21.0,43.0,27.0,,181.0
94,1969,Czechoslovakia,8,8,-1,24.0,42.0,35.0,23.0,28.0,18.0,,170.0
95,1969,Mongolia,8,-1,-1,11.0,25.0,22.0,9.0,39.0,14.0,,120.0
96,1969,France,8,8,-1,16.0,38.0,23.0,9.0,19.0,14.0,,119.0
97,1969,Poland,8,7,1,11.0,22.0,40.0,8.0,24.0,14.0,,119.0
98,1969,Sweden,8,8,-1,3.0,32.0,40.0,2.0,18.0,9.0,,104.0
99,1969,Belgium,8,4,2,9.0,18.0,13.0,9.0,8.0,0.0,,57.0
100,1969,Netherlands,8,8,-1,4.0,9.0,21.0,5.0,9.0,3.0,,51.0
101,1970,Hungary,8,7,1,,,,,,,,233.0
102,1970,German Democratic Republic,8,7,1,,,,,,,,221.0
103,1970,Union of Soviet Socialist Republics,8,8,-1,,,,,,,,221.0
104,1970,Yugoslavia,8,8,-1,,,,,,,,209.0
105,1970,Romania,8,6,-1,,,,,,,,208.0
106,1970,United Kingdom,8,8,-1,,,,,,,,180.0
107,1970,Bulgaria,8,7,1,,,,,,,,145.0
108,1970,Czechoslovakia,8,7,1,26.0,48.0,0.0,36.0,29.0,6.0,,145.0
109,1970,France,8,5,-1,,,,,,,,141.0
110,1970,Sweden,8,8,-1,,,,,,,,110.0
111,1970,Poland,8,8,-1,,,,,,,,105.0
112,1970,Austria,8,7,1,18.0,39.0,0.0,37.0,10.0,0.0,,104.0
113,1970,Netherlands,8,8,-1,,,,,,,,87.0
114,1970,Mongolia,8,-1,-1,,,,,,,,58.0
115,1971,Hungary,8,8,-1,35.0,38.0,45.0,38.0,46.0,53.0,,255.0
116,1971,Union of Soviet Socialist Republics,8,8,-1,34.0,21.0,27.0,34.0,51.0,38.0,,205.0
117,1971,German Democratic Republic,8,8,-1,20.0,16.0,30.0,30.0,28.0,18.0,,142.0
118,1971,Poland,8,8,-1,29.0,20.0,20.0,13.0,28.0,8.0,,118.0
119,1971,Romania,8,7,-1,22.0,20.0,20.0,22.0,16.0,10.0,,110.0
120,1971,United Kingdom,8,8,-1,21.0,20.0,23.0,27.0,12.0,7.0,,110.0
121,1971,Austria,8,8,-1,20.0,18.0,10.0,21.0,10.0,3.0,,82.0
122,1971,Yugoslavia,8,8,-1,17.0,16.0,3.0,15.0,18.0,2.0,,71.0
123,1971,Czechoslovakia,8,7,1,21.0,5.0,0.0,25.0,3.0,1.0,,55.0
124,1971,Netherlands,8,8,-1,10.0,14.0,9.0,11.0,2.0,2.0,,48.0
125,1971,Sweden,7,5,2,18.0,7.0,2.0,5.0,7.0,4.0,,43.0
126,1971,Bulgaria,8,8,-1,12.0,16.0,0.0,8.0,2.0,1.0,,39.0
127,1971,France,8,7,1,12.0,2.0,4.0,11.0,1.0,8.0,,38.0
128,1971,Mongolia,8,-1,-1,9.0,7.0,0.0,8.0,1.0,1.0,,26.0
129,1971,Cuba,4,-1,-1,4.0,2.0,1.0,1.0,0.0,1.0,,9.0
130,1972,Union of Soviet Socialist Republics,8,8,-1,36.0,42.0,35.0,48.0,54.0,55.0,,270.0
131,1972,Hungary,8,8,-1,35.0,41.0,43.0,52.0,40.0,52.0,,263.0
132,1972,German Democratic Republic,8,8,-1,40.0,29.0,45.0,43.0,46.0,36.0,,239.0
133,1972,Romania,8,4,-1,16.0,31.0,47.0,34.0,36.0,44.0,,208.0
134,1972,United Kingdom,8,8,-1,35.0,32.0,21.0,30.0,31.0,30.0,,179.0
135,1972,Poland,8,6,2,35.0,23.0,14.0,19.0,26.0,43.0,,160.0
