year,count_country,all,p1,p2,p3,p4,p5,p6
1959,2,9,4.444444444444445,2.3611111111111116,3.9682539682539684,5.777777777777777,8.194444444444445,6.349206349206349
1960,1,8,4.0625,4.583333333333334,7.5,0.9999999999999998,6.7857142857142865,6.9642857142857135
1961,2,9,4.629629629629629,5.555555555555555,6.349206349206349,5.555555555555555,5.7142857142857135,7.301587301587302
1962,3,17,0.980392156862745,2.450980392156863,3.8970588235294112,2.1176470588235285,4.033613445378151,6.2745098039215685
1963,2,16,4.166666666666666,5.357142857142857,7.232142857142857,7.708333333333334,6.041666666666668,2.421875
1964,9,72,1.8253968253968256,3.8492063492063497,1.157407407407408,7.523148148148148,4.563492063492064,4.5679012345679
1965,10,80,3.1562500000000004,5.5,4.96875,3.020833333333334,4.589285714285714,6.944444444444445
1966,7,27,1.1111111111111116,1.3756613756613756,3.3333333333333326,0.5925925925925934,2.8571428571428568,0.8333333333333337
1967,8,37,3.783783783783784,4.208494208494208,5.844594594594595,2.9279279279279278,4.903474903474904,3.682432432432432
1968,12,91,2.6190476190476186,1.334379905808477,4.222919937205651,2.8571428571428568,3.437990580847724,3.351648351648352
1969,14,112,4.892857142857143,3.7627551020408156,4.043367346938776,6.220238095238095,4.030612244897958,6.953125
1970,7,35,3.0285714285714285,1.5102040816326523,8.107142857142858,1.7619047619047612,4.380952380952381,7.0
1971,15,115,5.060869565217391,7.24223602484472,8.1256038647343,6.101449275362318,7.204968944099379,8.293478260869566
1972,14,107,4.018691588785047,4.563862928348909,6.675567423230975,4.2723631508678235,6.208277703604806,5.5140186915887845
1973,16,125,5.706666666666667,5.5200000000000005,5.01,3.5199999999999996,4.413333333333334,8.59
1974,18,140,0.971428571428572,3.7261904761904763,6.491071428571429,1.5595238095238095,5.571428571428571,6.125
1975,17,135,2.012345679012345,4.137566137566138,4.0,4.111111111111111,5.345679012345679,6.537037037037036
1976,18,139,4.776978417266187,7.23535457348407,6.106115107913669,3.752997601918465,8.437821171634122,3.442959917780062
1977,8,37,1.3063063063063074,4.90990990990991,5.057915057915058,4.63963963963964,5.057915057915058,6.182432432432432
1978,17,132,2.5883838383838373,5.845959595959595,5.880681818181818,3.409090909090909,1.6161616161616166,8.513257575757576
1979,23,166,7.2489959839357425,5.593803786574871,4.561101549053356,2.6807228915662638,5.654044750430293,4.492254733218589
1981,27,185,4.679536679536679,3.212355212355212,5.83011583011583,3.66023166023166,2.5945945945945947,2.0694980694980702
1982,30,119,3.4093637454981995,8.15126050420168,5.654261704681874,4.597839135654262,2.1368547418967587,6.3505402160864355
1983,8,40,4.892857142857142,5.928571428571429,4.892857142857142,4.214285714285715,6.928571428571429,6.9642857142857135
1984,34,192,3.4895833333333326,5.409226190476191,7.738095238095238,3.6383928571428568,6.383928571428572,7.894345238095238
1985,38,209,4.162679425837322,4.654818865345181,8.879015721120984,6.555023923444976,7.3615857826384135,7.115516062884484
1986,37,210,4.557823129251702,4.122448979591837,8.802721088435375,5.35374149659864,4.0272108843537415,7.224489795918368
1987,42,237,5.051235684147076,3.2790837854128996,6.919831223628692,4.966847498493069,3.9300783604581078,7.389993972272453
1988,49,268,4.360341151385928,5.389125799573561,7.526652452025586,6.6684434968017055,5.255863539445629,9.093816631130064
1989,50,291,5.66028473244968,3.9617083946980856,8.090328915071183,4.300441826215023,4.560628375061365,6.391752577319587
1990,54,308,5.890538033395176,4.939703153988868,7.012987012987013,5.779220779220779,4.007421150278293,7.8525046382189245
1991,55,312,4.574175824175825,3.96978021978022,6.346153846153846,5.531135531135531,4.56959706959707,7.417582417582418
1992,64,351,4.802604802604803,5.77940577940578,7.28937728937729,5.014245014245015,8.92144892144892,6.7887667887667895
1993,73,413,7.1048080249048775,7.239709443099274,8.384641992390176,6.710480802490489,5.167762020062262,7.405741957800069
1994,69,385,6.341372912801484,2.853432282003711,4.382189239332096,5.224489795918368,5.398886827458256,7.012987012987013
1995,73,412,2.777392510402219,7.558945908460472,5.533980582524272,3.4396671289875167,5.1282940360610265,8.488210818307905
1996,75,424,5.464959568733154,7.099056603773586,6.57345013477089,6.971024258760108,9.295822102425875,6.795822102425877
1997,82,460,6.462732919254659,4.431677018633541,7.459627329192546,4.6521739130434785,5.208074534161491,8.835403726708075
1998,76,419,5.42107057620184,6.092737811114899,7.483804977838391,5.052846914422093,5.813160586430276,9.031708148653255
1999,81,450,3.8603174603174595,7.612698412698413,7.736507936507937,5.987301587301587,7.412698412698413,8.355555555555556
2000,82,461,4.1493647350480325,6.045863030678649,9.064146265881623,5.45398202665014,7.666563371552526,8.500154942671212
2001,83,473,4.793113862881305,7.786167321051042,8.746602234974327,5.382059800664452,6.100875868317729,8.888553307157958
2002,84,479,5.073068893528183,4.917983895019385,9.155979719654042,4.434834476588129,6.761109454220101,9.415448851774531
2003,82,457,4.917161613004064,6.70834635823695,9.421694279462331,3.382306970928415,7.696155048452642,9.17474210690841
2004,85,486,3.42445620223398,6.055261610817166,8.55379188712522,4.171075837742505,6.4109347442680775,8.203997648442092
2005,91,513,6.265664160401002,5.641882483987747,8.696741854636592,4.631021999443052,6.900584795321638,8.078529657477025
2006,90,498,1.9793459552495707,7.380952380952381,9.059093516924841,2.860011474469306,8.310384394721744,9.733218588640275
2007,93,520,5.167582417582417,6.401098901098901,9.565934065934066,1.8846153846153846,7.288461538461539,9.782967032967033
2008,97,535,2.8865153538050734,6.339118825100134,8.851802403204271,3.711615487316422,7.033377837116155,9.628838451268358
2009,104,565,3.1378002528445013,4.700379266750948,8.543615676359039,5.835651074589128,6.465233881163085,9.759797724399494
2010,95,516,2.21483942414175,6.317829457364342,9.335548172757475,2.3643410852713185,8.668327796234772,9.473975636766333
2011,101,563,2.362344582593251,9.066226845978179,8.492768332910428,4.186754630804365,5.343821365135753,9.545800558233951
2012,100,547,1.9639592582919818,6.356751109950379,9.409767563332462,4.6200052232959,7.6234003656307125,9.519456777226429
2013,97,527,4.131200867443752,6.391976145296829,8.877744646245596,2.225535375440498,6.497695852534562,9.577121171049065
2014,101,560,2.3596938775510203,5.755102040816327,9.278061224489797,2.5867346938775517,7.558673469387756,9.51530612244898
2015,104,577,3.847487001733103,8.05892547660312,9.066600643723694,3.151770240158455,7.83857390443179,9.492448625897499
2016,109,602,2.467963929757949,7.095396298054105,9.641670621737067,3.222591362126245,7.603227337446606,8.84907451352634
2017,111,615,1.5098722415795585,6.708478513356562,9.939605110336817,2.8153310104529616,8.615563298490127,9.579558652729384
2018,107,594,2.9509379509379507,5.7912457912457915,9.603174603174603,4.341029341029341,6.149591149591149,9.088504088504088
2019,112,621,2.6017943409247755,6.572348746261789,9.18334483551875,4.6629859673337934,4.9045318610536,9.424890729238555
2020,105,616,2.4095547309833023,6.788033395176251,8.657235621521336,4.373840445269018,6.00417439703154,9.596474953617811
2021,107,619,3.724901915531964,9.464574198015232,9.469189937687513,4.546503577198246,6.925917378259867,9.312254788829911
2022,104,583,2.1073266356285227,3.888752756677285,8.914481744670423,2.2126929674099483,5.020828228375398,9.056603773584905
2023,112,617,1.7341977309562395,5.556841861542024,8.300532530678398,3.34799722157907,6.638110673767076,9.620282472794628
